Time,Source,Destination,Protocol,Length,Source Port,Destination Port,bad_packet
2025-04-07 20:06:19,192.168.29.1,192.168.29.168,ARP,42,0,0,0
2025-04-07 20:06:19,192.168.29.1,192.168.29.40,ARP,42,0,0,0
2025-04-07 20:06:19,2405:201:201f:695e:7cd6:d1ec:8cd8:fde2,2405:201:201f:695e::c0a8:1d01,UDPv6,99,56260,53,0
2025-04-07 20:06:19,2405:201:201f:695e:7cd6:d1ec:8cd8:fde2,2405:201:201f:695e::c0a8:1d01,UDPv6,99,55696,53,0
2025-04-07 20:06:19,2405:201:201f:695e:7cd6:d1ec:8cd8:fde2,2405:201:201f:695e::c0a8:1d01,UDPv6,99,62546,53,0
2025-04-07 20:06:19,2405:201:201f:695e::c0a8:1d01,2405:201:201f:695e:7cd6:d1ec:8cd8:fde2,UDPv6,127,53,56260,0
2025-04-07 20:06:19,2405:201:201f:695e::c0a8:1d01,2405:201:201f:695e:7cd6:d1ec:8cd8:fde2,UDPv6,115,53,55696,0
2025-04-07 20:06:19,2405:201:201f:695e::c0a8:1d01,2405:201:201f:695e:7cd6:d1ec:8cd8:fde2,UDPv6,149,53,62546,0
2025-04-07 20:06:19,2405:201:201f:695e:7cd6:d1ec:8cd8:fde2,2404:6800:4003:c01::54,UDPv6,1292,60228,443,0
2025-04-07 20:06:19,2405:201:201f:695e:7cd6:d1ec:8cd8:fde2,2404:6800:4003:c01::54,UDPv6,1292,60228,443,0
2025-04-07 20:06:19,2405:201:201f:695e:7cd6:d1ec:8cd8:fde2,2404:6800:4003:c01::54,UDPv6,144,60228,443,0
2025-04-07 20:06:19,2405:201:201f:695e:7cd6:d1ec:8cd8:fde2,2404:6800:4003:c01::54,UDPv6,1288,60228,443,0
2025-04-07 20:06:19,2405:201:201f:695e:7cd6:d1ec:8cd8:fde2,2404:6800:4003:c01::54,UDPv6,1292,60228,443,0
